UniProt,Protein Name,Organism
A0A7J0DWU5,Gibberellin-regulated family protein,Actinidia rufa (None)
A0A1S3E8Q9,Defensin-like protein 1,Cicer arietinum (Chickpea)
B3EWH5,Cyclotide phyb-A,Petunia hybrida (Petunia)
A0A371EG38,Defensin-like protein 4,Mucuna pruriens (Velvet bean)
A0A7G5F3C7,Cyclotide,Clitoria ternatea (Butterfly pea)
A0A438DYD0,Snakin-1,Vitis vinifera (Grape)
R0F7R7,Acidic protein,Capsella rubella (None)
Q9FPG1,Cysteine-rich protein,Vigna radiata (Mung bean)
A0A2I4FQB3,Peamaclein-like,Juglans regia (English walnut)
A0A2G9G8P9,Knottin scorpion toxin-like domain-containing protein,Handroanthus impetiginosus (None)
A0A835FQE0,Acidic protein,Digitaria exilis (None)
A0A0B4JDK1,Non-specific lipid-transfer protein,Anethum graveolens (Dill)
A0A0V0GEB4,Putative defensin-like protein-like,Solanum chacoense (Chaco potato)
Q8H0Q5,Probable leaf thionin,Hordeum vulgare (Barley)
A0A3Q7H7J8,Knottin scorpion toxin-like domain-containing protein,Solanum lycopersicum (Tomato)
C0HJS0,Cliotide T13,Clitoria ternatea (Butterfly pea)
C0HKH2,Chassatide C5,Chassalia chartacea (None)
A0A1U8HSB9,Pathogenesis-related protein PR-4-like,Gossypium hirsutum (Upland cotton)
C0HL31,Cyclotide psyleio E,Psychotria leiocarpa (None)
A0A8A6I1L4,Non-specific lipid-transfer protein,Chamaemelum nobile (Roman chamomile)
I1I1X0,Knottin scorpion toxin-like domain-containing protein,Brachypodium distachyon (Purple false brome)
C0HKJ6,Cyclotide mden-N,Melicytus dentatus (Tree violet)
R0I1C8,Acidic protein,Capsella rubella (None)
R0FRU0,Acidic protein,Capsella rubella (None)
D9IWD9,Antimicrobial peptide 2,Pinus pinaster (Maritime pine)
A0A4Y7IZQ3,Antimicrobial peptide 1,Papaver somniferum (Opium poppy)
A0A4Y7JT97,Uncharacterized protein,Papaver somniferum (Opium poppy)
A0A4Y7IGI9,Acidic protein,Papaver somniferum (Opium poppy)
Q6JYR0,HEV1.1,Hevea brasiliensis (Para rubber tree)
A0A4Y7I7B2,Antimicrobial peptide 1,Papaver somniferum (Opium poppy)
A0A4Y7J5A6,Uncharacterized protein,Papaver somniferum (Opium poppy)
Q6KF83,Pseudo-hevein,Hevea brasiliensis (Para rubber tree)
A0A7I8KFI5,Uncharacterized protein,Spirodela intermedia (Intermediate duckweed)
A0A6A6KFQ4,Auxin-responsive protein,Hevea brasiliensis (Para rubber tree)
A0A6A6KFR1,Uncharacterized protein,Hevea brasiliensis (Para rubber tree)
A0A6A6KH17,Chitinase,Hevea brasiliensis (Para rubber tree)
A0A6A6KHE3,Uncharacterized protein,Hevea brasiliensis (Para rubber tree)
A0A6A6KHF5,Auxin-responsive protein,Hevea brasiliensis (Para rubber tree)
A0A2G9HX57,Snakin-1,Handroanthus impetiginosus (None)
A0A6A6KIK7,Uncharacterized protein,Hevea brasiliensis (Para rubber tree)
A0A6A6KK83,Uncharacterized protein,Hevea brasiliensis (Para rubber tree)
A0A445KRF8,Defensin-like protein 4,Glycine soja (Wild soybean)
